trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,18,17.957928698529276,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3530194012193304}",25,1,-59.94173332256021,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 2}",1
122,False,"{'a': 0.01, 'e': 0.34364574631604705}",25,12,12.59341201985654,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,12,14.134911356024734,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.32479628443877623}",25,16,-8.303621206130906,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,7,23.789245598566712,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.01, 'e': 0.30581690837828934}",20,-4,20.43436500699176,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 0}",0
127,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,6,22.51000730726517,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2867152096319555}",25,12,10.501942567280427,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,16,7.545629130420365,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,-4,-136.18983356355432,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 3}",0
131,False,"{'a': 0.01, 'e': 0.2578500325326696}",20,6,-27.896447067933828,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
132,False,"{'a': 0.01, 'e': 0.2481754516523729}",25,11,-4.10365569821606,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,9,18.268212551276413,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,2,41.29308267491358,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.2190066870930415}",25,17,14.262105331835219,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,8,21.67127923907347,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,8,12.52943816306377,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
138,False,"{'a': 0.01, 'e': 0.18964083129783424}",20,14,12.556181525221783,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,9,-2.639636763588972,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,9,-3.930526487561047,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.16010431155483126}",20,8,24.18433684516818,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.01, 'e': 0.15022546991168584}",30,18,-2.5758646130254905,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
